epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,19051.6,0.70629,0.93923,1.22067,0.9961,0.98795,0.99417,0.98099,0.18044,0.12613,0.75608,0.00208,0.00208,0.00208
122,19211.2,0.70224,0.93661,1.21667,0.9961,0.98769,0.99416,0.98103,0.18035,0.1261,0.75601,0.002014,0.002014,0.002014
123,19372,0.69742,0.92409,1.21037,0.9961,0.98767,0.99416,0.981,0.1803,0.12621,0.75599,0.001948,0.001948,0.001948
124,19532.2,0.69912,0.925,1.21465,0.9961,0.98767,0.99416,0.981,0.18032,0.12606,0.75597,0.001882,0.001882,0.001882
125,19692.5,0.69371,0.92237,1.21048,0.9961,0.98778,0.99416,0.98055,0.1803,0.12592,0.75597,0.001816,0.001816,0.001816
126,19853.7,0.69639,0.92431,1.21266,0.9961,0.988,0.99417,0.98057,0.18042,0.12597,0.75597,0.00175,0.00175,0.00175
127,20012.5,0.70578,0.93234,1.21853,0.9961,0.98797,0.99417,0.98053,0.18024,0.12587,0.75592,0.001684,0.001684,0.001684
128,20172.1,0.6957,0.92026,1.21014,0.9961,0.98792,0.99417,0.98059,0.18027,0.12614,0.75586,0.001618,0.001618,0.001618
129,20331.8,0.6885,0.90551,1.20583,0.9961,0.98785,0.99416,0.98056,0.18012,0.12588,0.75581,0.001552,0.001552,0.001552
130,20491,0.6849,0.90596,1.20599,0.9961,0.98785,0.99417,0.98057,0.18011,0.12606,0.75577,0.001486,0.001486,0.001486
131,20651,0.694,0.91843,1.21073,0.9961,0.9878,0.99418,0.98062,0.18007,0.12616,0.75574,0.00142,0.00142,0.00142
132,20810.3,0.68564,0.90774,1.20483,0.9961,0.98781,0.99416,0.98063,0.18006,0.12608,0.75568,0.001354,0.001354,0.001354
133,20969.6,0.69022,0.91379,1.20783,0.9961,0.98782,0.99417,0.98063,0.18002,0.12608,0.75573,0.001288,0.001288,0.001288
134,21129,0.67833,0.89598,1.20157,0.9961,0.98781,0.99417,0.98062,0.17996,0.12624,0.75569,0.001222,0.001222,0.001222
135,21288.1,0.68066,0.89387,1.19823,0.9961,0.98785,0.99417,0.98062,0.17993,0.12587,0.7557,0.001156,0.001156,0.001156
136,21448.1,0.68122,0.89874,1.20272,0.99591,0.98767,0.99418,0.9807,0.17994,0.12592,0.75567,0.00109,0.00109,0.00109
137,21608.1,0.67771,0.89568,1.19826,0.99585,0.98771,0.99418,0.9808,0.17985,0.12583,0.75565,0.001024,0.001024,0.001024
138,21768.2,0.68671,0.91036,1.20533,0.99585,0.98774,0.99418,0.9811,0.17997,0.12594,0.75569,0.000958,0.000958,0.000958
139,21928.2,0.67833,0.90263,1.20153,0.99614,0.98718,0.99419,0.98081,0.17987,0.12601,0.75564,0.000892,0.000892,0.000892
140,22087.7,0.6813,0.90372,1.20234,0.99613,0.98718,0.9942,0.98082,0.17979,0.12588,0.75557,0.000826,0.000826,0.000826
141,22240.8,0.75267,0.93136,1.27728,0.99537,0.98829,0.9942,0.98088,0.17969,0.12554,0.75555,0.00076,0.00076,0.00076
142,22393.8,0.74595,0.91886,1.27472,0.99537,0.98825,0.9942,0.98091,0.17964,0.12565,0.75555,0.000694,0.000694,0.000694
143,22545.9,0.74499,0.91671,1.27358,0.99537,0.98794,0.9942,0.98094,0.17972,0.12587,0.75549,0.000628,0.000628,0.000628
144,22697.8,0.74322,0.91881,1.2763,0.99586,0.98784,0.99421,0.98092,0.17969,0.12575,0.75551,0.000562,0.000562,0.000562
145,22850.9,0.73449,0.90766,1.26692,0.99586,0.98785,0.99423,0.98094,0.17969,0.12536,0.75549,0.000496,0.000496,0.000496
146,23003.9,0.74166,0.91697,1.27304,0.99586,0.98783,0.99423,0.9814,0.17961,0.12545,0.75539,0.00043,0.00043,0.00043
147,23156.4,0.73561,0.90865,1.26832,0.99586,0.98784,0.99422,0.98102,0.17953,0.12547,0.75532,0.000364,0.000364,0.000364
148,23307.7,0.72813,0.90177,1.26435,0.99586,0.98788,0.99423,0.98114,0.17951,0.12571,0.75532,0.000298,0.000298,0.000298
149,23461,0.73791,0.90705,1.27246,0.9961,0.9872,0.99425,0.98114,0.17943,0.12578,0.75529,0.000232,0.000232,0.000232
150,23613.2,0.73003,0.90352,1.26491,0.99491,0.98791,0.99425,0.98152,0.17949,0.1259,0.75525,0.000166,0.000166,0.000166
